accx,accy,accz
-0.005,0.047,-0.065
-0.039,0.08,-0.096
-0.005,0.128,-0.17
-0.029,0.118,-0.182
-0.047,0.18,-0.168
-0.021,0.178,-0.12
-0.064,0.125,-0.091
-0.1,0.113,-0.062
-0.048,0.14,-0.106
-0.047,0.132,-0.142
-0.057,0.13,-0.147
-0.035,0.19,-0.149
-0.03,0.192,-0.082
-0.013,0.152,-0.015
-0.001,0.183,0.048
-0.025,0.14,0.012
0.055,-0.01,0.075
0.041,0.012,0.134
0.031,-0.055,0.19
0.048,-0.038,0.24
0.043,-0.065,0.226
0.059,-0.009,0.154
0.072,0.009,0.113
0.09,0.03,0.088
0.096,0.073,0.033
0.106,0.045,-0.005
0.061,0.044,-0.013
0.094,-0.039,-0.102
0.094,-0.039,-0.102
0.11,-0.008,-0.129
0.01,0.034,-0.088
0.071,0.053,-0.024
0.035,-0.009,-0.003
-0.015,-0.032,-0.02
-0.062,-0.032,0.036
-0.083,-0.029,0.102
-0.083,-0.029,0.102
-0.054,-0.041,0.051
-0.075,-0.041,-0.039
-0.075,-0.041,-0.039
-0.089,0.071,-0.045
-0.089,0.071,-0.045
-0.094,0.032,-0.039
-0.075,0,-0.009
-0.075,0,-0.009
-0.11,-0.003,-0.082
-0.11,-0.003,-0.082
-0.083,-0.023,-0.083
-0.083,-0.023,-0.083
-0.058,0.038,-0.058
-0.013,-0.008,-0.026
-0.006,-0.027,-0.037
0.018,-0.104,-0.011
0.018,-0.104,-0.011
-0.014,-0.08,-0.083
-0.015,-0.07,-0.135
-0.015,-0.07,-0.135
0.009,-0.022,0.002
0.032,-0.051,-0.019
0.032,-0.051,-0.019
0.01,-0.058,-0.085
0.01,-0.058,-0.085
-0.02,-0.075,0.039
-0.025,-0.073,0.058
-0.025,-0.073,0.058
0.002,-0.036,0.001
0.002,-0.036,0.001
0.007,0.011,-0.091
0.007,0.011,-0.091
0.017,-0.01,-0.002
-0.05,-0.028,0.069
-0.05,-0.028,0.069
-0.037,-0.063,0.08
-0.02,-0.093,0.115
-0.032,-0.041,0.068
-0.015,0.01,0.069
-0.011,0.016,0.083
0.046,0.006,0.095
0.025,-0.005,0.084
0.018,0.002,0.084
0.074,-0.008,0.007
0.074,-0.008,0.007
0.048,0.075,0
0.048,0.075,0
0.038,0.071,0.04
0.062,0.018,-0.035
0.062,0.018,-0.035
0.02,0.025,-0.078
0.02,0.025,-0.078
0.054,0.059,-0.054
0.043,0.059,-0.016
0.043,0.059,-0.016
0.04,0.008,-0.08
0.026,-0.024,-0.078
0.026,-0.024,-0.078
0.027,0.035,0.01
0.027,0.035,0.01
0.01,-0.026,0.084
0.024,-0.083,0.12
0.024,-0.083,0.12
-0.025,-0.124,0.113
-0.025,-0.124,0.113
-0.019,-0.117,0.182
-0.019,-0.117,0.182
0.001,-0.136,0.17
0.001,-0.11,0.117
0,-0.1,0.05
-0.02,-0.105,0.055
0.007,-0.102,0.084
0.002,-0.083,0.084
0.026,-0.069,0.038
0.018,-0.052,-0.037
