accx,accy,accz
-1.468,-1.155,0.4
-1.468,-1.155,0.4
-2.268,-1.41,2.001
-2.758,-1.625,3.326
-2.597,-1.747,4.639
-1.765,-2.013,5.937
-0.756,-2.353,6.777
0.057,-2.634,6.993
0.047,-2.627,6.225
0.047,-2.627,6.225
-1.264,-2.515,4.439
-1.264,-2.515,4.439
-1.648,-2.451,3.543
-1.562,-2.125,2.747
-1.562,-2.125,2.747
-0.588,-1.803,2.335
-0.588,-1.803,2.335
-0.178,-1.642,2.063
0.328,-1.716,0.794
0.328,-1.716,0.794
0.179,-1.878,-0.797
0.179,-1.878,-0.797
-0.13,-1.862,-1.349
-0.597,-1.815,-2.024
-0.597,-1.815,-2.024
-0.589,-1.781,-2.244
-0.5,-1.776,-2.224
-0.334,-1.606,-2.55
-0.123,-1.638,-3.11
0.025,-1.65,-3.724
-0.032,-1.502,-4.147
-0.18,-1.353,-4.652
-0.334,-1.298,-5.107
-0.604,-1.25,-5.302
-1.032,-1.156,-5.582
-1.477,-0.951,-5.839
-1.763,-0.76,-6.107
-1.859,-0.626,-6.245
-1.908,-0.505,-6.233
-1.978,-0.373,-6.103
-1.996,-0.215,-5.857
-2.019,-0.113,-5.453
-2.03,0.096,-5.18
-1.983,0.405,-4.965
-2.001,0.605,-4.768
-1.944,0.829,-4.557
-1.825,0.946,-4.364
-1.751,1.138,-4.005
-1.706,1.214,-3.543
-1.715,1.2,-3.018
-1.823,1.23,-2.366
-1.88,1.253,-1.502
-1.892,1.155,-0.632
-1.711,1.049,0.211
-1.291,0.905,0.894
-0.86,0.87,1.476
-0.679,0.869,2.164
-0.648,0.973,2.674
-0.705,1.046,3.119
-0.693,1.079,3.351
-0.581,1.119,3.242
-0.498,1.263,2.898
-0.298,1.308,2.22
0.042,1.189,1.723
0.45,1.121,1.408
0.781,1.069,1.052
1.159,0.804,0.843
1.413,0.53,0.68
1.635,0.208,0.478
1.837,-0.046,0.125
1.607,0.121,-0.121
1.157,0.392,-0.559
0.916,0.489,-0.844
0.834,0.392,-1.018
0.813,0.396,-1.175
0.901,0.428,-1.236
1.161,0.346,-1.489
1.454,0.267,-1.661
1.684,0.192,-1.848
1.846,0.198,-2.208
1.782,0.242,-2.553
1.713,0.222,-3.05
1.609,0.004,-3.484
1.662,-0.103,-3.855
1.575,-0.105,-3.775
1.358,-0.285,-3.626
1.191,-0.501,-3.638
0.82,-0.636,-3.389
0.392,-0.632,-3.279
0.125,-0.642,-3.202
-0.07,-0.628,-3.036
-0.226,-0.547,-2.869
-0.371,-0.411,-2.763
-0.392,-0.213,-2.739
-0.344,-0.059,-2.528
-0.26,0.015,-2.149
-0.144,0.095,-1.948
-0.02,0.19,-1.722
0.007,0.278,-1.477
-0.112,0.421,-1.162
-0.324,0.6,-0.775
-0.503,0.703,-0.437
-0.551,0.791,0.033
-0.529,0.834,0.374
-0.335,0.947,0.773
-0.11,1.07,1.081
0.043,1.255,1.571
0.218,1.232,1.925
0.332,1.153,2.314
0.392,1.06,2.689
0.407,0.978,3.066
0.373,0.825,3.407
0.172,0.749,3.707
-0.134,0.746,3.975
-0.425,0.692,4.095
-0.761,0.668,4.22
-1.1,0.683,4.337
-1.464,0.747,4.494
-1.674,0.644,4.719
-1.737,0.285,4.833
-1.665,-0.18,4.79
-1.43,-0.608,4.547
-1.117,-0.998,4.114
-0.873,-1.338,3.652
-0.589,-1.809,3.199
-0.496,-2.211,2.676
-0.829,-2.385,2.006
-1.53,-2.164,1.334
-2.065,-2.049,0.741
-2.372,-2.106,-0.045
-2.787,-1.772,-0.65
-2.807,-1.489,-1.114
-2.529,-1.548,-1.736
-2.121,-1.672,-2.204
-1.652,-1.692,-2.697
-1.203,-1.71,-3.193
-0.913,-1.767,-3.567
-0.803,-1.781,-3.959
-0.809,-1.837,-4.299
-0.853,-1.743,-4.577
-0.829,-1.738,-4.971
-0.74,-1.656,-5.292
-0.631,-1.567,-5.564
-0.513,-1.397,-5.815
-0.466,-1.217,-5.979
-0.353,-1.088,-5.946
-0.323,-0.914,-5.61
-0.083,-1.102,-6.113
0.216,-1.046,-6.178
0.399,-0.78,-5.969
0.339,-0.593,-5.833
0.211,-0.533,-5.779
0.134,-0.459,-5.465
0.165,-0.231,-4.864
0.165,-0.231,-4.864
0.115,-0.083,-4.418
-0.07,0.21,-3.282
-0.07,0.21,-3.282
-0.008,0.392,-1.789
-0.008,0.392,-1.789
0.123,0.334,-1.005
0.278,0.275,-0.272
0.34,0.26,0.264
0.561,0.29,1.369
0.812,0.325,1.814
0.812,0.325,1.814
1.135,0.304,2.052
1.549,0.281,2.386
2.053,0.341,3.107
2.347,0.213,3.706
2.569,0.048,4.251
2.656,-0.13,4.636
2.578,-0.257,4.861
2.352,-0.337,4.849
2.092,-0.219,4.612
1.913,-0.137,4.259
2.016,-0.069,3.834
2.241,-0.102,3.439
2.552,-0.269,3.195
2.796,-0.481,2.906
2.796,-0.481,2.906
2.726,-0.662,3.069
2.726,-0.662,3.069
2.509,-1.118,3.048
2.153,-1.05,2.894
2.153,-1.05,2.894
1.643,-0.878,2.385
1.196,-0.726,1.817
0.67,-0.435,0.42
0.425,-0.19,-0.275
0.425,-0.19,-0.275
0.392,-0.147,-1.6
0.392,-0.147,-1.6
0.164,-0.213,-2.543
-0.011,-0.2,-3.008
-0.011,-0.2,-3.008
-0.264,-0.109,-3.702
-0.264,-0.109,-3.702
-0.473,-0.147,-4.057
-0.925,-0.259,-4.824
-0.925,-0.259,-4.824
-1.174,-0.303,-5.269
-1.174,-0.303,-5.269
-1.624,-0.312,-5.449
-1.813,-0.298,-5.517
-1.813,-0.298,-5.517
-1.874,-0.261,-5.569
-1.796,-0.233,-5.456
-1.356,-0.17,-4.802
-1.215,-0.024,-4.59
-1.215,-0.024,-4.59
-1.274,0.337,-4.016
-1.274,0.337,-4.016
-1.541,0.463,-3.468
-1.856,0.587,-3.328
-2.127,0.648,-3.647
-2.206,0.828,-3.132
-2.351,1.079,-3.033
-2.275,1.379,-3.083
-2.055,1.78,-2.712
-1.651,1.908,-2.257
-1.3,1.983,-1.746
-0.995,2.131,-1.24
-0.778,2.143,-0.551
-0.72,2.097,0.422
-0.745,1.949,1.709
-0.987,1.759,2.816
-1.151,1.524,3.87
-1.409,1.41,4.783
-1.742,1.237,5.601
-1.957,1.122,5.882
-2.067,1.015,5.857
-2.152,1.149,5.531
-2.288,1.263,4.899
-2.058,1.143,4.358
-2.005,1.212,3.71
-1.971,1.213,3.257
-1.886,1.075,3.184
-1.682,0.793,3.349
-1.418,0.45,3.39
-1.25,0.047,3.357
-1.222,-0.361,3.392
-1.199,-0.84,3.29
-1.259,-1.257,3.143
-1.259,-1.257,3.143
-1.57,-1.564,2.695
-2.15,-1.823,1.445
-2.471,-1.731,0.649
-2.555,-1.715,-0.339
-2.646,-1.729,-1.309
-2.584,-1.707,-2.001
-2.615,-1.426,-2.634
-2.48,-1.254,-3.246
-2.163,-1.281,-3.583
-1.786,-1.345,-3.738
-1.287,-1.451,-3.898
-0.866,-1.472,-4.092
-0.546,-1.492,-4.205
-0.342,-1.362,-4.405
-0.212,-1.392,-4.641
-0.161,-1.42,-4.991
-0.161,-1.374,-5.338
-0.135,-1.333,-5.739
-0.065,-1.277,-6.223
0.048,-1.208,-6.621
0.166,-1.177,-6.725
0.213,-1.193,-6.771
0.262,-1.214,-6.73
0.225,-1.259,-6.563
0.18,-1.126,-6.378
0.238,-1.139,-6.057
0.285,-1.086,-5.737
0.2,-0.928,-5.389
0.165,-0.803,-5.166
0.067,-0.708,-4.951
-0.13,-0.579,-4.73
-0.374,-0.378,-4.46
-0.63,-0.149,-4.378
-0.761,0.066,-4.142
-0.863,0.316,-3.773
-0.891,0.629,-3.332
-0.794,0.758,-2.822
-0.614,0.943,-1.996
-0.267,1.112,-1.066
0.228,1.227,0.003
0.768,1.314,1.096
1.297,1.327,2.125
1.623,1.395,3.173
