accx,accy,accz
2.788,-1.107,3.845
2.673,-1.438,3.779
2.176,-1.511,3.373
1.489,-1.441,2.717
0.835,-1.253,2.167
0.394,-1.168,1.594
0.105,-1.048,0.894
-0.02,-0.864,0.421
0.112,-0.683,-0.074
0.379,-0.541,-0.5
0.733,-0.444,-0.778
1.066,-0.425,-0.976
1.32,-0.494,-1.202
1.359,-0.553,-1.332
1.134,-0.603,-1.44
0.697,-0.69,-1.523
0.262,-0.839,-1.666
-0.216,-0.934,-1.821
-0.661,-0.905,-2.063
-1.055,-0.747,-2.373
-1.186,-0.661,-2.738
-1.27,-0.525,-3.171
-1.458,-0.314,-3.553
-1.672,-0.074,-3.901
-1.763,0.064,-4.146
-1.838,0.156,-4.312
-1.846,0.309,-4.401
-1.856,0.473,-4.339
-1.849,0.596,-4.249
-1.845,0.67,-4.185
-1.847,0.768,-4.034
-1.866,0.887,-3.867
-1.891,0.976,-3.644
-1.837,0.993,-3.386
-1.753,0.934,-3.089
-1.621,0.821,-2.725
-1.454,0.706,-2.291
-1.261,0.575,-1.839
-1.08,0.491,-1.311
-0.87,0.351,-0.83
-0.699,0.216,-0.316
-0.598,0.085,0.109
-0.672,0.091,0.518
-0.855,0.17,0.795
-1.031,0.268,1.052
-1.125,0.36,1.269
-1.144,0.4,1.37
-1.042,0.423,1.478
-0.904,0.486,1.549
-0.68,0.472,1.666
-0.415,0.42,1.855
-0.12,0.336,1.962
0.085,0.287,2.088
0.061,0.352,2.151
-0.174,0.592,2.183
-0.44,0.765,2.193
-0.472,0.603,2.282
-0.353,0.339,2.271
-0.139,0.206,2.244
-0.006,0.228,2.257
0.074,0.143,2.396
0.187,-0.055,2.489
0.208,-0.364,2.617
0.243,-0.741,2.665
0.183,-1.074,2.521
-0.019,-1.273,2.166
-0.4,-1.181,1.526
-0.797,-1.008,0.868
-1.12,-0.88,0.313
-1.357,-0.745,-0.447
-1.666,-0.521,-1.034
-1.815,-0.32,-1.465
-1.815,-0.32,-1.465
-1.634,-0.163,-1.957
-1.125,-0.349,-1.772
-1.125,-0.349,-1.772
-0.331,-0.899,-0.864
-0.002,-1.132,-0.403
0.267,-1.288,-0.022
0.338,-1.343,0.067
0.395,-1.456,0.14
0.343,-1.521,-0.05
0.143,-1.436,-0.45
-0.009,-1.341,-1.019
-0.055,-1.226,-1.593
0.007,-1.117,-2.231
-0.143,-0.736,-3.314
-0.143,-0.736,-3.314
-0.198,-0.595,-3.707
-0.234,-0.496,-4.024
-0.212,-0.432,-4.239
-0.258,-0.152,-4.285
-0.258,-0.152,-4.285
-0.283,0.017,-4.169
-0.174,0.23,-3.763
-0.174,0.23,-3.763
-0.063,0.485,-3.414
-0.063,0.485,-3.414
0.073,0.582,-3.241
0.171,0.722,-2.813
0.171,0.722,-2.813
0.213,0.757,-2.468
0.251,0.731,-2.138
0.233,0.676,-1.735
0.157,0.665,-1.34
0.083,0.656,-1.111
0.011,0.735,-0.752
-0.105,0.85,-0.518
-0.11,0.947,-0.368
-0.043,0.968,-0.229
0.18,1.003,-0.048
0.399,0.987,0.03
0.662,0.928,0.381
1.018,0.68,0.953
1.254,0.44,1.701
1.285,0.353,2.202
1.168,0.266,2.73
0.945,0.283,3.108
0.945,0.283,3.108
0.262,0.676,3.598
