accx,accy,accz
3.051,-2.458,11.15
2.536,-2.217,10.623
1.853,-1.812,9.846
1.612,-1.684,9.105
1.612,-1.684,9.105
0.95,-1.022,6.674
0.95,-1.022,6.674
1.021,-0.644,4.758
1.161,-0.332,2.442
1.221,-0.205,1.274
1.161,-0.056,0.347
1.095,0.028,-0.455
0.983,0.006,-1.106
0.796,0.012,-1.722
0.506,-0.033,-2.311
0.13,-0.059,-2.905
-0.213,-0.1,-3.537
-0.546,-0.136,-4.086
-0.815,-0.228,-4.647
-0.986,-0.34,-5.237
-1.127,-0.402,-5.707
-1.252,-0.377,-6.176
-1.312,-0.406,-6.55
-1.301,-0.44,-6.744
-1.256,-0.508,-6.912
-1.166,-0.448,-7.018
-1.087,-0.405,-7.181
-1.032,-0.398,-7.24
-0.953,-0.39,-7.389
-0.828,-0.339,-7.376
-0.688,-0.298,-7.389
-0.561,-0.199,-7.313
-0.468,-0.117,-7.147
-0.411,-0.077,-6.872
-0.316,-0.065,-6.498
-0.317,-0.094,-5.971
-0.317,-0.094,-5.971
-0.302,-0.11,-5.404
-0.35,0.034,-4.275
-0.374,0.099,-3.599
-0.33,0.139,-2.958
-0.33,0.139,-2.958
-0.287,0.166,-2.258
-0.263,0.296,-0.859
-0.221,0.252,-0.028
-0.004,0.052,1.041
0.354,-0.173,2.031
0.499,-0.155,2.899
0.357,0.227,3.748
0.275,0.545,4.373
0.164,0.571,4.814
0.269,0.248,5.158
0.446,-0.233,5.359
0.674,-0.683,5.422
0.892,-1.08,5.53
1.075,-1.464,5.373
1.137,-1.756,4.982
0.88,-1.826,4.204
0.122,-1.493,3.151
-0.861,-0.947,2.029
-1.629,-0.598,1.012
-1.629,-0.598,1.012
-2.23,-0.194,0.026
-2.663,0.342,-1.525
-2.663,0.342,-1.525
-2.029,0.429,-2.111
-1.458,0.178,-2.022
-1.013,-0.118,-1.766
-0.84,-0.343,-1.423
-0.853,-0.53,-1.071
-0.927,-0.688,-0.797
-0.97,-0.78,-0.694
-0.909,-0.891,-0.753
-0.74,-1.032,-1.018
-0.482,-1.061,-1.306
-0.312,-1.01,-1.791
-0.146,-0.91,-2.299
-0.06,-0.793,-2.835
-0.06,-0.793,-2.835
-0.011,-0.708,-3.327
-0.19,-0.537,-4.285
-0.277,-0.517,-4.705
-0.343,-0.447,-5.033
-0.363,-0.393,-5.193
-0.333,-0.312,-5.267
-0.322,-0.202,-5.275
-0.254,-0.098,-5.185
-0.132,0.033,-5.056
-0.087,0.112,-4.843
-0.125,0.15,-4.596
-0.071,0.19,-4.299
-0.007,0.145,-3.963
0.084,0.078,-3.588
0.272,0.031,-3.163
0.562,-0.078,-2.578
0.845,-0.188,-1.917
1.129,-0.276,-1.169
1.267,-0.372,-0.642
1.31,-0.319,-0.237
1.221,-0.191,0.117
1.148,-0.048,0.315
1.148,-0.048,0.315
1.376,0.211,0.929
1.63,0.317,1.282
1.927,0.346,1.652
2.245,0.475,2.043
2.429,0.619,2.362
2.539,0.703,2.694
2.588,0.678,2.936
2.486,0.553,3.121
2.357,0.459,3.197
2.168,0.449,3.226
1.913,0.547,3.249
1.642,0.851,3.21
1.422,1.176,3.124
1.289,1.345,3.171
1.45,1.201,3.129
1.886,0.754,3.004
2.349,0.289,2.944
2.531,-0.126,2.751
2.657,-0.589,2.626
2.622,-1.038,2.314
2.267,-1.464,1.911
1.415,-1.503,1.421
0.256,-1.23,0.733
-0.719,-1.058,0.081
-1.39,-0.992,-0.58
-1.72,-0.908,-1.109
-1.737,-0.689,-1.625
-1.444,-0.504,-2.081
-0.858,-0.532,-2.335
-0.166,-0.645,-2.436
0.24,-0.696,-2.418
0.359,-0.709,-2.203
0.25,-0.703,-1.844
-0.091,-0.825,-1.452
-0.626,-1.059,-0.993
-1.371,-1.149,-0.529
-2.113,-1.081,-0.285
-2.579,-0.975,-0.189
-2.655,-0.895,-0.323
-2.538,-0.878,-0.786
-2.312,-0.776,-1.339
