accx,accy,accz
0.171,-0.025,-0.07
0.15,-0.056,-0.048
0.164,-0.028,-0.027
0.112,-0.03,-0.015
0.066,-0.013,0.011
0.07,-0.013,0.014
0.099,-0.042,0.054
0.097,-0.025,0.071
0.106,-0.035,0.098
0.111,-0.068,0.071
0.054,-0.085,0.095
0.057,-0.095,0.042
0.018,-0.071,0.014
0.04,-0.086,-0.034
0.04,-0.086,-0.034
0.052,-0.098,-0.02
0.052,-0.098,-0.02
0.045,-0.117,0.046
0.052,-0.112,0.056
0.052,-0.112,0.056
0.011,-0.12,-0.006
0.011,-0.12,-0.006
0.014,-0.1,-0.014
0.002,-0.139,-0.011
-0.032,-0.12,0.04
0.017,-0.1,0.093
0.017,-0.1,0.093
0.003,-0.115,0.129
0,-0.105,0.083
0,-0.105,0.083
0.011,-0.07,0.04
0.054,-0.058,0.083
0.054,-0.058,0.083
0.092,-0.032,0.067
0.097,-0.029,0.043
0.097,-0.029,0.043
0.174,-0.044,0.045
0.174,-0.044,0.045
0.164,-0.051,0.007
0.159,-0.061,-0.055
0.11,-0.106,-0.071
0.096,-0.084,-0.078
0.096,-0.084,-0.078
0.066,-0.119,-0.023
0.066,-0.119,-0.023
0.057,-0.109,0.059
0.021,-0.116,0.095
0.021,-0.116,0.095
0,-0.097,0.093
-0.048,-0.119,0.04
-0.076,-0.104,0.064
-0.076,-0.104,0.064
-0.072,-0.107,0.088
-0.002,-0.092,0.083
-0.002,-0.092,0.083
0.03,-0.064,0.052
0.047,-0.076,-0.041
0.075,-0.073,-0.117
0.07,-0.035,-0.144
0.077,-0.05,-0.151
0.099,-0.026,-0.116
0.075,-0.033,-0.034
0.116,-0.055,0.02
0.14,-0.062,0.051
0.097,-0.033,0.017
0.101,-0.019,-0.073
0.106,0.002,-0.069
0.106,0.002,-0.069
0.142,-0.012,-0.05
0.123,-0.017,0.007
0.12,-0.024,0.04
0.07,-0.026,0.088
0.023,-0.052,0.105
0.025,-0.067,0.093
0.019,-0.067,0.057
0.052,-0.076,0.01
0.054,-0.081,-0.023
0.057,-0.071,-0.027
0.054,-0.059,-0.032
0.047,-0.071,-0.027
0.026,-0.074,0.006
0.014,-0.093,-0.017
0.016,-0.069,-0.005
0.021,-0.066,-0.017
0.043,-0.064,0.022
0.057,-0.071,0.008
0.043,-0.067,0.046
0.067,-0.083,0.049
0.015,-0.071,0.006
0.02,-0.071,0.003
0.034,-0.071,0.006
0.032,-0.067,0.049
0.052,-0.078,0.054
0.095,-0.054,0.112
0.086,-0.021,0.069
0.067,-0.013,0.047
0.091,-0.011,0.004
0.062,0.005,0.021
0.067,0.053,-0.066
0.079,0.017,-0.001
0.136,0.017,0.015
0.141,-0.013,0.065
0.157,-0.016,0.046
0.133,-0.025,0.034
0.114,-0.006,-0.006
0.118,-0.035,-0.042
0.103,-0.05,-0.073
0.101,-0.055,-0.071
0.076,-0.045,-0.069
0.062,-0.076,-0.021
0.083,-0.069,-0.026
0.059,-0.09,0.017
0.05,-0.059,0.007
0.026,-0.081,-0.004
0.028,-0.078,0.008
-0.009,-0.055,0.072
-0.007,-0.062,0.068
-0.026,-0.069,0.087
0.014,-0.076,0.054
-0.012,-0.038,0.03
0.023,-0.062,0
0.09,-0.023,-0.024
0.114,-0.019,-0.072
0.101,-0.029,-0.084
0.096,0.011,-0.089
0.101,-0.033,-0.062
0.087,0.016,-0.034
0.096,-0.048,0.01
0.12,-0.026,0.015
0.139,-0.014,0.008
0.163,-0.024,-0.006
0.142,-0.005,-0.023
0.161,0.013,-0.052
0.156,-0.002,-0.03
0.111,-0.012,-0.023
0.087,0.018,0.024
0.068,-0.002,0.052
0.072,-0.045,0.091
0.073,-0.049,0.084
0.123,-0.054,0.043
0.123,-0.054,0.043
0.104,-0.039,0.019
0.083,-0.063,0.038
0.092,-0.034,0.019
0.107,-0.051,-0.002
0.107,-0.044,0.004
0.109,0.008,0.04
0.09,-0.001,0.016
0.121,-0.02,0.071
0.119,-0.023,0.078
0.119,-0.032,0.068
0.128,-0.051,0.089
0.079,-0.047,0.041
0.086,-0.042,-0.003
0.077,-0.069,0.01
0.048,-0.033,0.017
0.058,-0.072,0.036
0.073,-0.055,0.062
0.061,-0.062,0.038
0.069,-0.056,0.062
0.067,-0.041,0.012
0.07,-0.041,-0.03
0.075,-0.037,-0.008
0.097,-0.025,-0.061
0.133,-0.018,-0.046
0.133,-0.018,-0.046
0.176,0.028,-0.015
0.121,0.025,0.008
0.096,0.037,-0.036
0.074,0.035,-0.063
0.062,0.03,-0.036
0.086,0.016,-0.022
0.086,0.016,-0.022
0.14,-0.021,0.044
0.144,-0.023,0.069
0.144,-0.023,0.069
0.107,0,-0.009
0.107,0,-0.009
0.136,0.013,-0.037
0.128,0.006,-0.09
0.13,0.009,-0.071
0.159,-0.001,-0.01
0.159,-0.001,-0.01
0.161,-0.035,0.044
0.106,-0.051,0.096
0.106,-0.051,0.096
0.07,-0.058,0.161
0.07,-0.058,0.161
0.07,-0.034,0.128
0.111,0.041,0.099
0.111,0.041,0.099
0.177,0.108,0.027
0.177,0.108,0.027
0.201,0.099,0.005
0.251,0.133,0
0.251,0.133,0
0.304,0.136,-0.028
0.244,0.155,0.038
0.244,0.155,0.038
0.222,0.143,0.048
0.222,0.143,0.048
0.225,0.156,0.098
0.28,0.194,0.105
0.309,0.187,0.096
0.328,0.196,0.093
0.378,0.225,0.036
0.404,0.232,0
0.431,0.22,-0.014
0.4,0.256,-0.023
0.431,0.261,0.002
0.416,0.278,0.026
0.409,0.29,0.068
0.409,0.29,0.068
0.341,0.312,0.164
0.391,0.367,0.171
0.429,0.364,0.238
0.513,0.369,0.274
0.284,0.254,0.154
0.321,0.255,0.126
0.298,0.285,0.136
0.263,0.227,0.143
